# owner.fqn	M|F	old	new	evidence
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers_3	M	method2	refresh	must-implement alignment: GuiIterator.refresh renamed from method2
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight.Highlight_2	M	method2	refresh	must-implement alignment: GuiIterator.refresh renamed from method2
com.moonsworth.lunar.network.MixinHelper3	M	method3	setChannels	access alignment: method3 renamed but a receiver on MixinHelper3 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump71	M	method3	getScaleFactor	access alignment: method3 renamed but a receiver on ThreadModuleDump71 was not rewritten
com.moonsworth.lunar.client.mod.hud.Memory	M	method4	renderText	access alignment: method4 renamed but a receiver on Memory was not rewritten
com.moonsworth.lunar.client.util.alert.Alert5	M	method12	restartAnimation	access alignment: method12 renamed but a receiver on Alert5 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click	M	method1	drawBlockOutline	access alignment: method1 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click	M	method6	drawBlockOutlineBatched	access alignment: method6 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click	M	method7	drawBoxWires	access alignment: method7 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.util.alert.GuiRewindhandlersHandler2	M	method1	getConnectedTexture	access alignment: method1 renamed but a receiver on GuiRewindhandlersHandler2 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert5	M	method7	getAnimation	access alignment: method7 renamed but a receiver on Alert5 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert4	M	method5	getTextureHeight	access alignment: method5 renamed but a receiver on Alert4 was not rewritten
com.moonsworth.lunar.client.render.GpuResourceTracker	M	method11	isTrackingEnabled	access alignment: method11 renamed but a receiver on GpuResourceTracker was not rewritten
com.moonsworth.lunar.client.render.GpuResourceTracker	M	method9	dumpOffHeapAllocations	access alignment: method9 renamed but a receiver on GpuResourceTracker was not rewritten
com.moonsworth.lunar.client.mod.hud.F3ModuleChildMod	M	method21	getShowEmpty	access alignment: method21 renamed but a receiver on F3ModuleChildMod was not rewritten
com.moonsworth.lunar.client.mod.render.Markers	M	method5	onMarkersCleared	access alignment: method5 renamed but a receiver on Markers was not rewritten
com.moonsworth.lunar.client.mod.render.Markers	M	method3	onMarkerUpdate	access alignment: method3 renamed but a receiver on Markers was not rewritten
com.moonsworth.lunar.client.util.chest.SExtension	M	method9	builder	access alignment: method9 renamed but a receiver on SExtension was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method9	contains	access alignment: method9 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method10	getLeft	access alignment: method10 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method11	getTop	access alignment: method11 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method1	getWidth	access alignment: method1 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method2	getHeight	access alignment: method2 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method6	scale	access alignment: method6 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump71	M	method1	getScaledWidth_double	access alignment: method1 renamed but a receiver on ThreadModuleDump71 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump71	M	method2	getScaledHeight_double	access alignment: method2 renamed but a receiver on ThreadModuleDump71 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CalculatorParser.ExpressionNode	M	method3	evaluate	access alignment: method3 renamed but a receiver on CalculatorParser.ExpressionNode was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CalculatorParser.Token	M	method1	getType	access alignment: method1 renamed but a receiver on CalculatorParser.Token was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CalculatorParser.ExpressionNode	M	method1	parse	access alignment: method1 renamed but a receiver on CalculatorParser.ExpressionNode was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CircleFitter.CircleCandidate	M	method3	getPointIndices	access alignment: method3 renamed but a receiver on CircleFitter.CircleCandidate was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data6	M	method2	values	access alignment: method2 renamed but a receiver on Click16.Data6 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data2	M	method2	minY	access alignment: method2 renamed but a receiver on Click16.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data2	M	method3	maxY	access alignment: method3 renamed but a receiver on Click16.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data2	M	method4	getColor	access alignment: method4 renamed but a receiver on Click16.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data3	M	method1	of	access alignment: method1 renamed but a receiver on Click16.Data3 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data5	M	method1	of	access alignment: method1 renamed but a receiver on Click16.Data5 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click2.Data2	M	method3	evaluate	access alignment: method3 renamed but a receiver on Click2.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click2.Data4	M	method1	getType	access alignment: method1 renamed but a receiver on Click2.Data4 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click2.Data2	M	method1	parse	access alignment: method1 renamed but a receiver on Click2.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click5.Data2	M	method3	getPointIndices	access alignment: method3 renamed but a receiver on Click5.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click6.Data	M	method1	getSlots	access alignment: method1 renamed but a receiver on Click6.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click12.Data	M	method2	title	access alignment: method2 renamed but a receiver on Click12.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data2	M	method1	fromArray	access alignment: method1 renamed but a receiver on Click16.Data2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data4	M	method1	draw	access alignment: method1 renamed but a receiver on Click16.Data4 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method7	getColor	access alignment: method7 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method1	getX1	access alignment: method1 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method2	getY1	access alignment: method2 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method3	getZ1	access alignment: method3 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method4	getX2	access alignment: method4 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method5	getY2	access alignment: method5 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click16.Data	M	method6	getZ2	access alignment: method6 renamed but a receiver on Click16.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.AnimatedValue	M	method6	setEnabled	access alignment: method6 renamed but a receiver on AnimatedValue was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.AnimatedValue	M	method1	animateTo	access alignment: method1 renamed but a receiver on AnimatedValue was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.AnimatedValue	M	method3	isAnimating	access alignment: method3 renamed but a receiver on AnimatedValue was not rewritten
com.moonsworth.lunar.network.MixinHelper	M	method3	setWidth	access alignment: method3 renamed but a receiver on MixinHelper was not rewritten
com.moonsworth.lunar.network.MixinHelper	M	method4	height	access alignment: method4 renamed but a receiver on MixinHelper was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump18	M	method6	getAverageValue	access alignment: method6 renamed but a receiver on ThreadModuleDump18 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump18	M	method4	interpolate	access alignment: method4 renamed but a receiver on ThreadModuleDump18 was not rewritten
com.moonsworth.lunar.network.MixinHelper22	M	method8	path	access alignment: method8 renamed but a receiver on MixinHelper22 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.GuiIterator	M	method2	refresh	access alignment: method2 renamed but a receiver on GuiIterator was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2	M	method2	computeWaveform	access alignment: method2 renamed but a receiver on Rewindhandlers2 was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.AnimatedValue	M	method4	getDirection	access alignment: method4 renamed but a receiver on AnimatedValue was not rewritten
com.moonsworth.lunar.client.util.alert.Alert	M	method1	reset	access alignment: method1 renamed but a receiver on Alert was not rewritten
com.moonsworth.lunar.client.mod.render.MenuBlur	M	method9	shouldBlurScreen	access alignment: method9 renamed but a receiver on MenuBlur was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump13	M	method1	runOnMainThread	access alignment: method1 renamed but a receiver on ThreadModuleDump13 was not rewritten
com.moonsworth.lunar.client.mod.hud.ItemCounterElementChildMod	M	method13	refresh	access alignment: method13 renamed but a receiver on ItemCounterElementChildMod was not rewritten
com.moonsworth.lunar.client.mod.hud.ItemCounter	M	method13	getChildScale	access alignment: method13 renamed but a receiver on ItemCounter was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.coordinates.SkillLevelCalculator	M	method6	getMaxLevelXp	access alignment: method6 renamed but a receiver on SkillLevelCalculator was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2	M	method14	advanceTime	access alignment: method14 renamed but a receiver on Rewindhandlers2 was not rewritten
