owner	file	n_lazy
InviteCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/InviteCommand.java	5
JsonDeserializerIterator$Data	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator$Data.java	3
JsonDeserializerIterator	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator.java	13
JsonDeserializerIterator2	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator2.java	16
JsonDeserializerIterator_2	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator_2.java	9
JsonDeserializerIterator_3	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator_3.java	27
KickCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/KickCommand.java	9
MetalDetectorLocationsDeserializer	com/moonsworth/lunar/client/framework/feature/mod/fishing/MetalDetectorLocationsDeserializer.java	2
PartyTransferCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/PartyTransferCommand.java	11
PartyWarpCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/PartyWarpCommand.java	4
PingCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/PingCommand.java	3
QueueInstanceCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/QueueInstanceCommand.java	6
SkyBlockChat	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockChat.java	9
SkyBlockChatCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockChatCommand.java	13
SkyBlockCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommand.java	23
SkyBlockCommandBuilder	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandBuilder.java	20
SkyBlockCommandConfig	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandConfig.java	2
SkyBlockCommandDeserializer	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandDeserializer.java	9
SkyBlockCommandKeybinds	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandKeybinds.java	39
SkyBlockCommandMigration	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandMigration.java	9
SkyBlockCommandMigrationStep	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandMigrationStep.java	1
SkyBlockCommandMigrations	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommandMigrations.java	3
SkyBlockCommission	com/moonsworth/lunar/client/framework/feature/mod/fishing/SkyBlockCommission.java	78
TimeCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/TimeCommand.java	5
TpsCommand	com/moonsworth/lunar/client/framework/feature/mod/fishing/TpsCommand.java	4
