# owner.fqn	M|F	old	new	evidence
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers_3	M	method2	refresh	must-implement alignment: GuiIterator.refresh renamed from method2
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight.Highlight_2	M	method2	refresh	must-implement alignment: GuiIterator.refresh renamed from method2
com.moonsworth.lunar.network.MixinHelper3	M	method3	setChannels	access alignment: method3 renamed but a receiver on MixinHelper3 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method15	getProvider	access alignment: method15 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.mod.hud.Memory	M	method4	renderText	access alignment: method4 renamed but a receiver on Memory was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click	M	method1	drawBlockOutline	access alignment: method1 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click	M	method6	drawBlockOutlineBatched	access alignment: method6 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.Click	M	method7	drawBoxWires	access alignment: method7 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.render.GpuResourceTracker	M	method11	isTrackingEnabled	access alignment: method11 renamed but a receiver on GpuResourceTracker was not rewritten
com.moonsworth.lunar.client.render.GpuResourceTracker	M	method9	dumpOffHeapAllocations	access alignment: method9 renamed but a receiver on GpuResourceTracker was not rewritten
com.moonsworth.lunar.client.mod.hud.F3ModuleChildMod	M	method21	getShowEmpty	access alignment: method21 renamed but a receiver on F3ModuleChildMod was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.WorldRenderUtils	M	method7	drawFilledBox	access alignment: method7 renamed but a receiver on WorldRenderUtils was not rewritten
com.moonsworth.lunar.network.MixinHelper	M	method3	setWidth	access alignment: method3 renamed but a receiver on MixinHelper was not rewritten
com.moonsworth.lunar.network.MixinHelper	M	method4	height	access alignment: method4 renamed but a receiver on MixinHelper was not rewritten
com.moonsworth.lunar.network.MixinHelper5	M	method4	name	access alignment: method4 renamed but a receiver on MixinHelper5 was not rewritten
com.moonsworth.lunar.network.MixinHelper5	M	method5	ip	access alignment: method5 renamed but a receiver on MixinHelper5 was not rewritten
com.moonsworth.lunar.network.NetworkIterator6	M	method4	data	access alignment: method4 renamed but a receiver on NetworkIterator6 was not rewritten
com.moonsworth.lunar.network.MixinHelper27	M	method11	fastRewind	access alignment: method11 renamed but a receiver on MixinHelper27 was not rewritten
com.moonsworth.lunar.network.NetworkIterator5	M	method4	data	access alignment: method4 renamed but a receiver on NetworkIterator5 was not rewritten
com.moonsworth.lunar.network.MixinHelper164	M	method4	subType	access alignment: method4 renamed but a receiver on MixinHelper164 was not rewritten
com.moonsworth.lunar.network.MixinHelper3	M	method4	frequency	access alignment: method4 renamed but a receiver on MixinHelper3 was not rewritten
com.moonsworth.lunar.network.MixinHelper22	M	method8	path	access alignment: method8 renamed but a receiver on MixinHelper22 was not rewritten
com.moonsworth.lunar.network.NetworkIterator2	M	method4	data	access alignment: method4 renamed but a receiver on NetworkIterator2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.GuiIterator	M	method2	refresh	access alignment: method2 renamed but a receiver on GuiIterator was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method4	updatePreviewWindow	access alignment: method4 renamed but a receiver on Holograms2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method19	setInputFocused	access alignment: method19 renamed but a receiver on Holograms2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method16	setRuleOfThirdsOverlay	access alignment: method16 renamed but a receiver on Holograms2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method17	setQuartersOverlay	access alignment: method17 renamed but a receiver on Holograms2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method18	showSettings	access alignment: method18 renamed but a receiver on Holograms2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2	M	method2	computeWaveform	access alignment: method2 renamed but a receiver on Rewindhandlers2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.nameplate.Nameplate2_2	M	method20	nametag	access alignment: method20 renamed but a receiver on Nameplate2_2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.nameplate.Nameplate2_2	M	method9	setEntityOverride	access alignment: method9 renamed but a receiver on Nameplate2_2 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert	M	method1	reset	access alignment: method1 renamed but a receiver on Alert was not rewritten
com.moonsworth.lunar.network.MixinHelper25	M	method4	interactionType	access alignment: method4 renamed but a receiver on MixinHelper25 was not rewritten
com.moonsworth.lunar.client.mod.hud.ItemCounterElementChildMod	M	method13	refresh	access alignment: method13 renamed but a receiver on ItemCounterElementChildMod was not rewritten
com.moonsworth.lunar.client.mod.hud.ItemCounter	M	method13	getChildScale	access alignment: method13 renamed but a receiver on ItemCounter was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.WidgetFactory	M	method1	withBackground	access alignment: method1 renamed but a receiver on WidgetFactory was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.WidgetFactory	M	method3	withBackground	access alignment: method3 renamed but a receiver on WidgetFactory was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2	M	method14	advanceTime	access alignment: method14 renamed but a receiver on Rewindhandlers2 was not rewritten
com.moonsworth.lunar.client.profile.ModProfile	M	method2	isDefaultProfile	access alignment: method2 renamed but a receiver on ModProfile was not rewritten
com.moonsworth.lunar.client.profile.importer.BadlionProfileConverter	M	method2	convert	access alignment: method2 renamed but a receiver on BadlionProfileConverter was not rewritten
com.moonsworth.lunar.client.profile.importer.FeatherProfileImporter	M	method7	clampAllOptions	access alignment: method7 renamed but a receiver on FeatherProfileImporter was not rewritten
com.moonsworth.lunar.client.profile.importer.FeatherProfileConverter	M	method3	convert	access alignment: method3 renamed but a receiver on FeatherProfileConverter was not rewritten
com.moonsworth.lunar.client.replay.rewindhandlers.click.RewindTimelinesListBridge	M	HORHROIOIOICIRHIOCOICHHHIHCIIO	setSelectedLayer	access alignment: HORHROIOIOICIRHIOCOICHHHIHCIIO renamed but a receiver on RewindTimelinesListBridge was not rewritten
com.moonsworth.lunar.client.replay.rewindhandlers.colorsaturation.RewindPropertiesBridge	M	method3	setPropertyExtended	access alignment: method3 renamed but a receiver on RewindPropertiesBridge was not rewritten
com.moonsworth.lunar.client.replay.rewindhandlers.holograms.RewindEditorBridge	M	method4	updatePreviewWindow	access alignment: method4 renamed but a receiver on RewindEditorBridge was not rewritten
com.moonsworth.lunar.client.replay.rewindhandlers.nameplate.RewindInteractionJsApi	M	method9	setEntityOverride	access alignment: method9 renamed but a receiver on RewindInteractionJsApi was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method2	canPropagateEdit	access alignment: method2 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method7	selectLayer	access alignment: method7 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method4	addTrack	access alignment: method4 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method9	moveLayer	access alignment: method9 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method11	moveLayers	access alignment: method11 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method13	setShowKeyframes	access alignment: method13 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.files.mixin.AssetIndex	M	method1	getSha1	access alignment: method1 renamed but a receiver on AssetIndex was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method3	getAssetIndex	access alignment: method3 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method5	getTime	access alignment: method5 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method6	getReleaseTime	access alignment: method6 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files2	M	method1	getSha1	access alignment: method1 renamed but a receiver on Files2 was not rewritten
com.moonsworth.lunar.files.mixin.Files3	M	method4	getTime	access alignment: method4 renamed but a receiver on Files3 was not rewritten
com.moonsworth.lunar.files.mixin.Files3	M	method5	getReleaseTime	access alignment: method5 renamed but a receiver on Files3 was not rewritten
com.moonsworth.lunar.files.mixin.Files4	M	method10	getLatest	access alignment: method10 renamed but a receiver on Files4 was not rewritten
com.moonsworth.lunar.files.mixin.Files4	M	method11	getVersions	access alignment: method11 renamed but a receiver on Files4 was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method3	getAssetIndex	access alignment: method3 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method5	getTime	access alignment: method5 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method6	getReleaseTime	access alignment: method6 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.VersionInfo	M	method4	getTime	access alignment: method4 renamed but a receiver on VersionInfo was not rewritten
com.moonsworth.lunar.files.mixin.VersionInfo	M	method5	getReleaseTime	access alignment: method5 renamed but a receiver on VersionInfo was not rewritten
com.moonsworth.lunar.files.mixin.VersionManifest	M	method10	getLatest	access alignment: method10 renamed but a receiver on VersionManifest was not rewritten
com.moonsworth.lunar.files.mixin.VersionManifest	M	method11	getVersions	access alignment: method11 renamed but a receiver on VersionManifest was not rewritten
com.moonsworth.lunar.network.MixinHelper2	M	method31	lunarClientGitBranch	access alignment: method31 renamed but a receiver on MixinHelper2 was not rewritten
com.moonsworth.lunar.network.MixinHelper13	M	method3	richStatusSource	access alignment: method3 renamed but a receiver on MixinHelper13 was not rewritten
