com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	FunctionImpl2	MolangCheckBiome	registered as lunar.check_for_biome in Holograms2Iterator.method9; static call(double) returns 1 when player's biome legacy id matches arg
com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	FunctionImpl3	MolangCheckBiomeCategory	registered per BiomeCategory as lunar.check_for_<category>; call() returns 1 when player's biome category equals ctor-held BiomeCategory
com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	FunctionImpl4	MolangCheckSnowyBiome	registered as lunar.check_for_snowy_biome; static call() returns 1 when player's biome isSnowy()
com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	FunctionImpl5	MolangLightLevel	registered as lunar.get_light_level; static call(sky,block) returns world light level above player pos via Ref.method8, 15.0 fallback
com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	FunctionImpl6	MolangSmoothQuery	registered as <query>_smooth[_easing] in Holograms2Iterator.method7; wraps QueryTransition over EasingType for a MolangScope variable
com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	FunctionImpl7	MolangAnimationState	extends Function + MolangBuiltin; call() returns 1 when Inactive3 current (method47) / previous (method45) AnimationStateConfig id equals held id; currently unreferenced
com.moonsworth.lunar.client.framework.feature.armorstatus	Gui2Extension2	DurabilityPosition	option key durabilityPosition (Armorstatus.field18, ArmorStatusElementChildMod.field8); TOP/BOTTOM/RIGHT/LEFT placement of the durability readout
com.moonsworth.lunar.client.framework.feature.armorstatus	Gui2Extension3	HotbarPosition	option key hotbarPosition (Armorstatus.field29, default LEFT); RIGHT/LEFT hotbar-anchored panel placement in ArmorStatusPanelRenderer
com.moonsworth.lunar.client.mod.render	Type2	EntityMarkerType	Minimap$Type2: option entityMarkerType (default HEAD); NONE/CIRCLE/TRIANGLE/HEAD entity-marker shape with needsRotation	com/moonsworth/lunar/client/mod/render/Minimap.java
com.moonsworth.lunar.client.mod.render	Type3	PlayerMarkerType	Minimap$Type3: option playerMarkerType (default TRIANGLE); NONE/CIRCLE/TRIANGLE/CROSS/HEAD player-marker shape with needsRotation	com/moonsworth/lunar/client/mod/render/Minimap.java
com.moonsworth.lunar.client.mod.render	Type2	WishingCompassVerdict	SkyblockWishingCompass$Type2: return of method14 compass-use check; IN_NUCLEUS/TOO_CLOSE_REJECTION, ACCEPT_IRRELEVANT/ACCEPT_SUCCESS, SPAM_REJECTION	com/moonsworth/lunar/client/mod/render/SkyblockWishingCompass.java
com.moonsworth.lunar.client.mod.render	Type2	SpiritLeapDefaultView	SpiritLeapOverlay$Type2: option spiritLeapMenuDefaultView (default MAP); WHEEL/MAP default spirit-leap menu view	com/moonsworth/lunar/client/mod/render/SpiritLeapOverlay.java
com.moonsworth.lunar.client.mod.render	Data2	StoragePreviewRule	SkyblockStorageHoverPreview$Data2: hover-preview rule (item id + toggle + row count + extractor fn); field25 compactor/deletor/backpack/cake-bag list	com/moonsworth/lunar/client/mod/render/SkyblockStorageHoverPreview.java
com.moonsworth.lunar.client.mod.render	Data2	VanillaModelCacheKey	SkyblockVanillaItemModels$Data2: substitution-cache key (VanillaItemRegistry.Data + foil flag); field11 ConcurrentHashMap key in method12	com/moonsworth/lunar/client/mod/render/SkyblockVanillaItemModels.java
