package	old	new	evidence
com.moonsworth.lunar.bridge	Bridge3$Extension	ChatLineExtensionBridge	empty interface extends ChatLineBridge (Bridge3_13); flattened from bridge/mixinShared/mixinMore/Bridge3 (the ChatLine class file), no references anywhere; kept as the nested Extension of the ChatLine bridge.
com.moonsworth.lunar.bridge	Bridge3Extension	AnimationMetadataSectionBridge	sprite-animation metadata: bridge$getFrameCount/bridge$getFrameTime/bridge$hasTime(int)/bridge$getFrameIndex(int); AnimationMetadataSectionMixin @Mixin(AnimationMetadataSection) implements it and SpriteAnimationBridge advances the current frame.
com.moonsworth.lunar.bridge	Bridge3Extension2_2	EmissiveMetadataSectionBridge	custom IMetadataSection for emissive textures: legacy/wrapper/util/Bridge3Extension2 implements IMetadataSection with method1()=ResourceLocation of the emissive sprite + method2()=animated flag; built by IMetadataSectionSerializer from the .mcmeta "emissive"/"emissiveAnimated" keys.
com.moonsworth.lunar.bridge	Bridge3Extension3_2	TextureMetadataSectionBridge	TextureMetadataSectionMixin @Mixin(TextureMetadataSection) implements it; bridge$getTextureBlur/bridge$getTextureClamp = TextureMetadataSection.getTextureBlur/getTextureClamp.
com.moonsworth.lunar.bridge	Bridge3Extension_2	ServerboundCustomPayloadPacketBridge	empty marker extending PacketBridge; C17PacketCustomPayloadMixin @Mixin(C17PacketCustomPayload) implements it and the packet factory builds it for the 1.8 client-to-server plugin message (modern name ServerboundCustomPayloadPacket).
com.moonsworth.lunar.bridge	Bridge3Extension_3	ModelHumanoidHeadBridge	extends ModelSkeletonHeadBridge adding @KeepName bridge$showHat(boolean); ModelHumanoidHeadMixin @Mixin(ModelHumanoidHead) and legacy/ModelSkeletonHeadImpl implement it; SkullSkinLayerRenderer uses it to hide the vanilla hat on cosmetic skulls.
com.moonsworth.lunar.bridge	Bridge3Extension_5	BlockButtonBridge	BlockButtonMixin @Mixin(BlockButton) implements it; bridge$isPowered(BlockStateBridge) = IBlockState.getValue(BlockButton.POWERED) for MC>=1.8 (VersionGate max=5); SkyblockSimonSays/BlocksBridge query it.
com.moonsworth.lunar.bridge	Bridge3Extension_6	ClientboundCustomPayloadPacketBridge	extends PacketBridge with bridge$id() = the plugin-message channel and bridge$getBufferData() = the payload; S3FPacketCustomPayloadMixin @Mixin(S3FPacketCustomPayload) implements it and EventPluginMessage dispatches it (modern name ClientboundCustomPayloadPacket).
com.moonsworth.lunar.bridge	Bridge3Extension_7	AsyncTextureBridge	extends TextureBridge with the async resource lifecycle method4()=ready/method13()=has-resource/method3(boolean)=enqueue; implemented by the Util2Handler texture (Future<Optional<DecodedTextureDataBridge>> + mipmap Bridge8Extension3[]) and nameplate textures; HologramsIterator calls method3(true) then restarts the sprite.
com.moonsworth.lunar.bridge	Bridge3_11	SoundHandlerBridge	SoundHandlerMixin @Mixin(SoundHandler) implements it: bridge$playSound/bridge$play(ResourceLocation, SoundCategory, volumes, pitch, AttenuationTypeBridge, x,y,z)/bridge$playLunarMusic/bridge$setLunarMusicVolume/bridge$playMp3FromURL/bridge$getSoundEngine; Bridge5_12 (Minecraft) exposes it.
com.moonsworth.lunar.bridge	Bridge3_12	EntityEndermanMarkerBridge	empty marker; EntityEndermanMixin @Mixin(EntityEnderman) implements it and SkyblockEndermanSlayer uses instanceof to detect the enderman being hit.
com.moonsworth.lunar.bridge	Bridge3_13	ChatLineBridge	ChatLineMixin @Mixin(ChatLine) implements it: bridge$getLunarID/bridge$setLunarID/bridge$isAddedByApollo/bridge$setAddedByApollo tag chat lines created by Lunar/Apollo; GuiNewChatMessageMixin reads them.
